otherCatalogNumbers,extracted,nanodropConc,sequenced12S,sequencedCOI,catalogNumber,institutionCode,individualCount,basisOfRecord,preparations,typeStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,eventRemarks,identificationQualifier,vernacularName,identifiedBy,identificationRemarks,associatedSequences,taxonRemarks,waterBody,locality,recordedBy,samplingProtocol,minimumDepthInMeters,continent,countryCode,country,stateProvince,county,decimalLatitude,decimalLongitude,geodeticDatum,eventDate
SEA0025,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis,"(Euphrasen, 1786)",Voucher direct in EtOH tube,NA,Long spined sea scorpion,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0026,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis,"(Euphrasen, 1786)",Voucher direct in EtOH tube,NA,Long spined sea scorpion,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0027,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis,"(Euphrasen, 1786)",Voucher direct in EtOH tube,NA,Long spined sea scorpion,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0028,TRUE,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Gobius,paganellus,"(Linnaeus, 1758)",NA,NA,Rock goby,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0029,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Gobius,paganellus,"(Linnaeus, 1758)",NA,NA,Rock goby,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0030,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,"(Krøyer, 1838)",NA,NA,Common goby,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0031,TRUE,58.5,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0032,TRUE,56.6,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0033,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0034,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0035,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coryphoblennius,galerita,"(Linnaeus, 1758)",Voucher direct in EtOH tube,NA,Montagu's blenny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0036,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coryphoblennius,galerita,"(Linnaeus, 1758)",Voucher direct in EtOH tube,NA,Montagu's blenny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0037,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coryphoblennius,galerita,"(Linnaeus, 1758)",Voucher direct in EtOH tube,NA,Montagu's blenny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0038,TRUE,,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coryphoblennius,galerita,"(Linnaeus, 1758)",NA,NA,Montagu's blenny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0039,TRUE,,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coryphoblennius,galerita,"(Linnaeus, 1758)",NA,NA,Montagu's blenny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0040,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coryphoblennius,galerita,"(Linnaeus, 1758)",NA,NA,Montagu's blenny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0041,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Coryphoblennius,galerita,"(Linnaeus, 1758)",NA,NA,Montagu's blenny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0042,TRUE,,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0043,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0044,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0045,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0046,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0047,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0048,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0049,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0050,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0051,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0052,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0053,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0054,,,,,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal rocks, Castlebeach Bay, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7016,-5.1576,WGS84,2016-06-09
SEA0055,TRUE,,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal mudflats, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7155,-5.1724,WGS84,2016-06-09
SEA0056,TRUE,,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal mudflats, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7155,-5.1724,WGS84,2016-06-09
SEA0057,TRUE,,,TRUE,NA,NA,1,PreservedSpecimen,EtOH,Other material,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Lipophrys,pholis,"(Linnaeus, 1758)",NA,NA,Shanny,Rupert A. Collins,NA,NA,NA,Milford Haven,"Intertidal mudflats, Dale",Rupert A. Collins | Martin Genner,Hand net,0,Europe,GB,United Kingdom,Wales,Pembrokeshire,51.7155,-5.1724,WGS84,2016-06-09
